	Timestamp	Steps	Score	Env no.
 2019-05-25 23:33:01	2084032	  -20.0	1
 2019-05-25 23:33:25	2098592	  -20.0	1
 2019-05-25 23:34:02	2120400	  -21.0	1
 2019-05-25 23:34:25	2134000	  -21.0	1
 2019-05-25 23:34:47	2147088	  -21.0	1
 2019-05-25 23:35:14	2162448	  -21.0	1
 2019-05-25 23:35:41	2178784	  -19.0	1
 2019-05-25 23:36:02	2191360	  -21.0	1
 2019-05-25 23:36:29	2207440	  -20.0	1
 2019-05-25 23:36:56	2223344	  -21.0	1
 2019-05-25 23:37:20	2237456	  -21.0	1
 2019-05-25 23:37:44	2251424	  -21.0	1
 2019-05-25 23:38:13	2268608	  -20.0	1
 2019-05-25 23:38:38	2282496	  -21.0	1
 2019-05-25 23:39:07	2299696	  -20.0	1
 2019-05-25 23:39:29	2312784	  -21.0	1
 2019-05-25 23:39:50	2324880	  -21.0	1
 2019-05-25 23:40:13	2338864	  -21.0	1
 2019-05-25 23:40:38	2353792	  -20.0	1
 2019-05-25 23:41:01	2367056	  -20.0	1
 2019-05-25 23:41:25	2381456	  -21.0	1
 2019-05-25 23:41:51	2396688	  -20.0	1
 2019-05-25 23:42:16	2411984	  -19.0	1
 2019-05-25 23:42:41	2425664	  -20.0	1
 2019-05-25 23:43:07	2441360	  -20.0	1
 2019-05-25 23:43:31	2455904	  -21.0	1
 2019-05-25 23:43:59	2472448	  -20.0	1
 2019-05-25 23:44:30	2490320	  -20.0	1
 2019-05-25 23:44:58	2506864	  -19.0	1
 2019-05-25 23:45:24	2521904	  -21.0	1
 2019-05-25 23:45:49	2537392	  -20.0	1
 2019-05-25 23:46:17	2554080	  -20.0	1
 2019-05-25 23:46:47	2571536	  -20.0	1
 2019-05-25 23:47:13	2586624	  -21.0	1
 2019-05-25 23:47:43	2604352	  -19.0	1
 2019-05-25 23:48:08	2619136	  -21.0	1
 2019-05-25 23:48:37	2636048	  -21.0	1
 2019-05-25 23:49:00	2650128	  -20.0	1
 2019-05-25 23:49:23	2663488	  -20.0	1
 2019-05-25 23:49:50	2679408	  -21.0	1
 2019-05-25 23:50:23	2698688	  -19.0	1
 2019-05-25 23:50:49	2714480	  -19.0	1
 2019-05-25 23:51:18	2731264	  -20.0	1
 2019-05-25 23:51:40	2744416	  -21.0	1
 2019-05-25 23:52:10	2762208	  -20.0	1
 2019-05-25 23:52:36	2777680	  -21.0	1
 2019-05-25 23:52:59	2791168	  -21.0	1
 2019-05-25 23:53:26	2806720	  -19.0	1
 2019-05-25 23:53:52	2821776	  -20.0	1
 2019-05-25 23:54:20	2838832	  -19.0	1
 2019-05-25 23:54:42	2851392	  -21.0	1
 2019-05-25 23:55:11	2868688	  -20.0	1
 2019-05-25 23:55:35	2882720	  -21.0	1
 2019-05-25 23:55:58	2896224	  -21.0	1
 2019-05-25 23:56:35	2917968	  -19.0	1
 2019-05-25 23:56:59	2932048	  -21.0	1
 2019-05-25 23:57:24	2947056	  -20.0	1
 2019-05-25 23:57:52	2963872	  -18.0	1
 2019-05-25 23:58:15	2976896	  -21.0	1
 2019-05-25 23:58:38	2990816	  -20.0	1
 2019-05-25 23:59:05	3006928	  -19.0	1
 2019-05-25 23:59:28	3020256	  -20.0	1
 2019-05-25 23:59:55	3036576	  -19.0	1
 2019-05-26 00:00:24	3053168	  -20.0	1
 2019-05-26 00:00:51	3069488	  -19.0	1
 2019-05-26 00:01:19	3085632	  -20.0	1
 2019-05-26 00:01:49	3103328	  -20.0	1
 2019-05-26 00:02:12	3116720	  -21.0	1
 2019-05-26 00:02:37	3131728	  -21.0	1
 2019-05-26 00:03:06	3148224	  -20.0	1
 2019-05-26 00:03:31	3163344	  -20.0	1
 2019-05-26 00:04:00	3180592	  -20.0	1
 2019-05-26 00:04:24	3194576	  -21.0	1
 2019-05-26 00:04:48	3208384	  -20.0	1
 2019-05-26 00:05:13	3223568	  -20.0	1
 2019-05-26 00:05:36	3237296	  -20.0	1
 2019-05-26 00:06:02	3252128	  -21.0	1
 2019-05-26 00:06:27	3267232	  -21.0	1
 2019-05-26 00:06:51	3281056	  -21.0	1
 2019-05-26 00:07:16	3295888	  -20.0	1
 2019-05-26 00:07:44	3312352	  -20.0	1
 2019-05-26 00:08:06	3324928	  -21.0	1
 2019-05-26 00:08:29	3339024	  -21.0	1
 2019-05-26 00:08:54	3353424	  -20.0	1
 2019-05-26 00:09:20	3368688	  -20.0	1
 2019-05-26 00:09:47	3384592	  -18.0	1
 2019-05-26 00:10:12	3399504	  -19.0	1
 2019-05-26 00:10:37	3414016	  -21.0	1
 2019-05-26 00:11:01	3428064	  -21.0	1
